Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
1	5.0344935	3.2354635	2.5558403	1.4303975	1.1780002	0.7569162	0.5574460	0.0048969	0.0033964	0.0184050	0.0428570	0.1577514	0.0850942	-15.624
5000	5.0755336	3.2807801	2.6698739	1.4079805	1.1494511	0.7768307	0.5674415	0.0050793	0.0032374	0.0202935	0.0553143	0.1243716	0.0677996	-17.484
10000	5.0683495	3.2898826	2.5788772	1.4511516	1.1564830	0.7360006	0.5456001	0.0041448	0.0038044	0.0181325	0.0893673	0.1605179	0.0547279	-9.216
15000	5.0494109	3.2905522	2.6971195	1.4464756	1.0928310	0.6628235	0.4594836	0.0054746	0.0033618	0.0180693	0.1016846	0.1191172	0.0476152	-13.247
20000	5.1320552	3.2809177	2.3651889	1.3943954	0.8639105	0.5936454	0.4438982	0.0053277	0.0038655	0.0181409	0.2001971	0.0736142	0.1091957	-13.050
25000	5.1944251	3.2638387	2.5823314	1.5019936	1.2301204	0.7682996	0.5623463	0.0048583	0.0037228	0.0175693	0.0468990	0.0980953	0.0649256	-16.455
30000	5.0956846	3.2867849	2.6054769	1.4243049	1.0974122	0.7307706	0.5928387	0.0049793	0.0031208	0.0167756	0.0485157	0.1027681	0.0608724	-23.879
35000	5.1219298	3.2683605	2.5278729	1.4199577	1.1406551	0.7901126	0.6627920	0.0054664	0.0037531	0.0192029	0.0819932	0.1388377	0.1721212	-17.885
40000	5.1292093	3.1557184	2.6326019	1.4504189	1.3452807	0.9482662	0.6969096	0.0042485	0.0034666	0.0208137	0.1651459	0.1124441	0.2118323	-27.105
45000	5.2063936	3.2144346	2.4241106	1.4035180	1.3137733	0.8429762	0.5763314	0.0045517	0.0034082	0.0169797	0.0785447	0.2035970	0.1207370	-14.480
50000	5.0325164	3.2365641	2.5504412	1.4095478	1.0827985	0.7413835	0.5558427	0.0051268	0.0034233	0.0217168	0.0568331	0.0380259	0.1487025	-30.275
55000	5.0009828	3.2675066	2.6537165	1.5627100	1.1601431	0.7358504	0.5728095	0.0047872	0.0027848	0.0168304	0.0577867	0.0668851	0.1382529	-27.425
60000	5.1000348	3.2309261	2.5383616	1.4150174	1.0814448	0.7092688	0.5101603	0.0062467	0.0034683	0.0196335	0.1525604	0.0961943	0.0557386	-22.908
65000	5.0602154	3.2666158	2.6691737	1.5537478	1.2456571	0.7511953	0.5850817	0.0045291	0.0032317	0.0173795	0.0522105	0.1916697	0.1153920	-27.876
70000	5.2486523	3.2887020	2.5371687	1.4986389	1.1650792	0.7286312	0.5673842	0.0048826	0.0028975	0.0197171	0.0687863	0.0664406	0.0894884	-19.415
